check stuff level | https://cs.brown.edu/courses/csci1380/sandbox/1 3
check stuff | https://cs.brown.edu/courses/csci1380/sandbox/1 3
check | https://cs.brown.edu/courses/csci1380/sandbox/1 3
level check stuff | https://cs.brown.edu/courses/csci1380/sandbox/1 2
level check | https://cs.brown.edu/courses/csci1380/sandbox/1 2
level right | https://cs.brown.edu/courses/csci1380/sandbox/1 1
level | https://cs.brown.edu/courses/csci1380/sandbox/1 3
link check stuff | https://cs.brown.edu/courses/csci1380/sandbox/1 1
link check | https://cs.brown.edu/courses/csci1380/sandbox/1 1
link | https://cs.brown.edu/courses/csci1380/sandbox/1 1
right | https://cs.brown.edu/courses/csci1380/sandbox/1 1
simpl link check | https://cs.brown.edu/courses/csci1380/sandbox/1 1
simpl link | https://cs.brown.edu/courses/csci1380/sandbox/1 1
simpl | https://cs.brown.edu/courses/csci1380/sandbox/1 1
stuff level check | https://cs.brown.edu/courses/csci1380/sandbox/1 2
stuff level right | https://cs.brown.edu/courses/csci1380/sandbox/1 1
stuff level | https://cs.brown.edu/courses/csci1380/sandbox/1 3
stuff | https://cs.brown.edu/courses/csci1380/sandbox/1 3
